Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Konami Digital Entertainment,92.16,69.69,91.3,30.31,283.64
Kool Kizz,0.03,0.01,0.0,0.0,0.04
LEGO Media,1.01,0.5,0.0,0.05,1.56
LSP Games,0.08,0.04,0.0,0.01,0.12
Laguna,0.16,0.04,1.34,0.01,1.55
Legacy Interactive,0.04,0.0,0.0,0.0,0.04
Level 5,0.2,0.27,11.65,0.04,12.17
Lexicon Entertainment,0.04,0.0,0.0,0.0,0.05
Licensed 4U,0.0,0.06,0.0,0.0,0.07
Lighthouse Interactive,0.0,0.01,0.0,0.0,0.02
Liquid Games,0.19,0.07,0.0,0.0,0.27
Little Orbit,0.53,1.31,0.0,0.16,2.04
Locus,0.0,0.0,0.07,0.0,0.07
LucasArts,49.97,26.63,0.2,10.5,87.34
MC2 Entertainment,0.03,0.03,0.0,0.0,0.08
MLB.com,0.04,0.0,0.0,0.0,0.04
MTO,0.0,0.0,0.39,0.01,0.4
MTV Games,14.98,4.01,0.01,2.03,20.97
Mad Catz,0.24,0.05,0.0,0.02,0.3
Magical Company,0.15,0.1,0.12,0.03,0.41
Magix,0.17,0.13,0.0,0.04,0.35
Majesco Entertainment,12.08,2.91,0.02,0.96,16.08
Mamba Games,0.0,0.04,0.0,0.01,0.05
Marvel Entertainment,0.0,0.0,0.05,0.0,0.05
Marvelous Entertainment,0.8,0.22,1.17,0.15,2.33
Marvelous Games,0.0,0.0,0.02,0.0,0.02
Marvelous Interactive,1.61,0.17,2.22,0.18,4.17
Masque Publishing,0.01,0.0,0.0,0.0,0.02
Mastertronic,1.07,0.5,0.0,0.13,1.73
Mastiff,2.04,0.05,0.0,0.14,2.23
Mattel Interactive,3.05,0.37,0.0,0.05,3.51
Max Five,0.03,0.02,0.0,0.0,0.05
Maximum Family Games,0.03,0.0,0.0,0.0,0.03
Maxis,1.88,1.32,0.0,0.19,3.39
Media Entertainment,0.0,0.0,0.01,0.0,0.01
Media Factory,0.0,0.0,0.29,0.0,0.29
Media Rings,0.14,0.05,0.46,0.0,0.65
Media Works,0.0,0.0,0.18,0.0,0.18
MediaQuest,0.03,0.02,0.0,0.0,0.05
Men-A-Vision,0.72,0.04,0.0,0.01,0.77
Mentor Interactive,0.99,0.0,0.0,0.07,1.07
Mercury Games,0.17,0.0,0.02,0.02,0.21
Merscom LLC,0.0,0.17,0.0,0.03,0.2
Metro 3D,0.77,0.47,0.42,0.15,1.84
Michaelsoft,0.0,0.0,0.01,0.0,0.01
Micro Cabin,0.0,0.0,0.2,0.0,0.2
Microids,0.23,0.14,0.0,0.01,0.4
Microprose,0.7,1.19,0.0,0.16,2.02
Microsoft Game Studios,155.35,68.61,3.26,18.56,245.79
Midas Interactive Entertainment,1.34,0.97,0.15,0.26,2.72
Midway Games,45.46,18.38,0.12,5.74,69.85
Milestone,0.08,0.0,0.0,0.0,0.08
Milestone S.r.l,0.0,0.05,0.0,0.01,0.05
Milestone S.r.l.,0.23,0.78,0.1,0.16,1.28
Minato Station,0.0,0.0,0.05,0.0,0.05
Mindscape,4.64,2.51,0.0,0.55,7.74
Mirai Shounen,0.0,0.0,0.02,0.0,0.02
Misawa,0.0,0.0,0.07,0.0,0.07
Mitsui,0.06,0.02,0.0,0.0,0.08
Mojang,1.25,1.3,0.0,0.36,2.89
Monte Christo Multimedia,0.0,0.04,0.0,0.01,0.05
Moss,0.1,0.0,0.02,0.01,0.13
Mud Duck Productions,0.52,0.25,0.0,0.06,0.85
Mumbo Jumbo,0.53,0.0,0.0,0.04,0.58
Mycom,0.0,0.0,0.02,0.0,0.02
Myelin Media,0.09,0.04,0.0,0.01,0.13
Mystique,0.76,0.05,0.0,0.01,0.82
N/A,8.54,4.68,0.93,0.67,14.88
NCS,0.0,0.0,0.4,0.0,0.4
NCSoft,1.05,1.19,0.0,0.33,2.59
NDA Productions,0.09,0.02,0.0,0.0,0.12
NEC,0.0,0.0,0.43,0.0,0.43
NEC Interchannel,0.0,0.0,0.78,0.0,0.78
Namco Bandai Games,69.52,42.63,127.07,14.69,254.09
Natsume,2.52,0.66,0.32,0.2,3.69
Navarre Corp,0.04,0.0,0.0,0.0,0.05
Naxat Soft,0.0,0.0,0.01,0.0,0.01
Neko Entertainment,0.2,0.08,0.0,0.02,0.31
NetRevo,0.0,0.0,0.03,0.0,0.03
New,0.0,0.0,0.33,0.02,0.36
New World Computing,0.01,0.0,0.0,0.0,0.01
NewKidCo,0.89,0.38,0.0,0.04,1.33
Nexon,0.0,0.0,0.03,0.0,0.03
Nichibutsu,0.0,0.0,0.28,0.0,0.28
Nihon Falcom Corporation,0.15,0.01,0.58,0.04,0.77
Nintendo,816.87,418.74,455.42,95.33,1786.56
Nippon Amuse,0.0,0.0,0.09,0.0,0.09
Nippon Columbia,0.0,0.0,0.95,0.0,0.95
Nippon Ichi Software,5.22,1.93,5.87,1.35,14.28
Nippon Telenet,0.0,0.0,0.26,0.0,0.26
Nitroplus,0.0,0.0,0.02,0.0,0.02
Nobilis,1.61,0.18,0.02,0.14,1.94
Nordcurrent,0.39,0.14,0.0,0.05,0.59
Nordic Games,0.76,3.18,0.0,0.51,4.44
NovaLogic,0.48,0.24,0.0,0.07,0.82
Number None,0.0,0.02,0.0,0.01,0.03
